FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,WORK_LIFE_BALANCE_SCORE
5,3,5,8,4,6,10,1,1,3,3,5,2,7,5,0,2,5,0,4,2,670.7
2,3,4,1,7,7,2,1,2,4,1,6,0,6,0,2,2,6,6,2,4,631.6
3,3,6,6,7,3,6,4,2,6,6,2,1,8,8,4,1,6,6,7,2,641.4
3,3,6,6,7,3,6,4,2,6,6,2,1,8,8,4,1,6,6,7,2,641.4
3,3,6,6,7,3,6,4,2,6,6,2,1,8,8,4,1,6,6,7,2,641.4
3,3,6,6,7,3,6,4,2,6,6,2,1,8,8,4,1,6,6,7,2,641.4
3,3,6,6,7,3,6,4,2,6,6,2,1,8,8,4,1,6,6,7,2,641.4
3,3,6,6,7,3,6,4,2,6,6,2,1,8,8,4,1,6,6,7,2,641.4
3,3,6,6,7,3,6,4,2,6,6,2,1,8,8,4,1,6,6,7,2,641.4
3,3,6,6,7,3,6,4,2,6,6,2,1,8,8,4,1,6,6,7,2,641.4
3,3,6,6,7,3,6,4,2,6,6,2,1,8,8,4,1,6,6,7,2,641.4
3,3,6,6,7,3,6,4,2,6,6,2,1,8,8,4,1,6,6,7,2,641.4
3,3,6,6,7,3,6,4,2,6,6,2,1,8,8,4,1,6,6,7,2,641.4
4,3,10,7,10,8,10,1,1,4,3,10,2,8,0,2,2,10,2,10,3,728
5,2,3,6,2,5,2,3,1,7,1,10,1,9,0,6,1,7,3,7,2,665.3
5,4,8,7,7,4,2,2,1,7,5,5,4,10,0,5,2,4,5,7,2,693.4
5,2,8,8,7,9,8,5,1,6,9,8,9,8,8,3,2,8,9,5,3,746.3
2,3,7,6,5,3,5,3,1,10,5,6,10,7,0,2,1,6,4,10,4,693
2,3,7,6,5,3,5,3,1,10,5,6,10,7,0,2,1,6,4,10,4,693
5,0,10,10,7,10,9,5,1,9,10,10,9,9,3,9,1,10,9,9,3,767.3
4,2,10,6,10,7,8,5,2,9,3,4,7,8,0,2,2,10,1,9,4,723.4
2,2,6,7,9,6,5,5,1,8,2,9,4,6,0,2,2,10,2,3,1,708.7
3,1,10,5,3,5,0,2,2,10,4,2,1,8,0,1,2,3,1,10,3,663.5
2,3,3,4,1,10,1,0,2,2,0,6,6,6,2,10,2,0,1,1,2,592.5
4,4,5,1,7,2,0,4,2,10,1,3,0,7,5,2,2,10,1,2,2,631.2
3,3,4,4,3,5,3,5,2,5,0,3,0,8,0,4,1,7,7,4,2,629.7
4,4,6,1,3,6,0,3,2,5,2,6,0,8,6,2,2,1,1,8,4,623.5
3,2,10,6,10,10,10,5,1,3,2,5,1,7,0,2,2,10,10,10,3,740.4
5,3,2,5,6,5,7,1,1,9,7,8,7,8,0,1,2,7,8,7,4,719.1
3,3,6,6,7,3,6,4,2,6,6,2,1,8,8,4,1,6,6,7,2,641.4
3,3,6,6,7,3,6,4,2,6,6,2,1,8,8,4,1,6,6,7,2,641.4
3,3,6,6,7,3,6,4,2,6,6,2,1,8,8,4,1,6,6,7,2,641.4
3,0,10,6,9,3,10,4,2,2,3,2,1,10,8,4,1,9,10,9,2,675.8
5,3,2,6,0,5,2,0,1,10,1,1,1,8,10,4,2,0,0,10,2,624.2
4,4,2,2,1,3,1,1,2,4,2,4,0,7,7,4,2,2,0,3,2,583.8
3,2,1,5,7,8,4,5,1,8,6,3,6,6,0,2,2,5,2,8,1,697.3
1,3,3,5,2,10,5,5,2,5,5,10,1,5,5,0,2,5,4,5,2,659.4
1,2,4,7,8,7,4,3,2,6,4,3,2,7,0,2,2,7,4,10,3,673.7
5,3,6,3,5,8,1,3,2,2,0,10,0,7,10,2,2,2,1,5,3,629.2
5,1,9,4,8,10,3,1,2,10,6,6,1,7,10,1,2,7,5,4,4,681.1
3,3,6,5,8,10,4,1,1,6,6,8,10,8,7,4,2,5,5,5,1,695.3
5,2,10,6,10,7,3,5,1,8,5,5,3,9,5,0,2,10,5,3,3,725.5
2,5,1,5,2,2,4,0,1,5,2,2,2,8,0,5,1,3,1,5,2,598.9
3,1,5,4,5,6,7,5,1,2,3,5,10,7,0,2,1,4,7,7,2,689.4
1,2,2,4,2,2,7,1,1,3,8,10,3,7,2,1,1,10,9,7,2,668.3
2,4,5,10,10,10,3,5,2,8,4,3,5,6,0,6,2,6,4,10,3,688.8
2,1,3,3,5,3,1,1,1,10,5,5,10,9,0,2,2,1,1,4,2,669.4
1,2,3,5,2,10,6,5,2,7,10,10,1,5,0,2,2,5,4,5,2,681.5
3,5,10,10,10,10,5,5,2,10,6,2,10,6,0,10,2,7,7,10,3,714.1
2,2,3,5,6,10,4,3,2,5,2,6,5,8,4,4,2,3,3,7,3,657.5
4,4,10,6,5,3,4,1,1,10,8,5,5,8,0,5,2,10,5,6,4,703.2
3,0,10,6,9,3,10,4,2,2,3,2,1,10,8,4,1,9,10,9,2,675.8
4,4,3,3,10,10,2,5,1,6,0,4,0,6,10,10,2,2,0,5,2,632.9
4,3,4,10,4,8,8,5,2,7,5,8,5,8,0,5,2,10,8,8,3,717.4
1,5,3,7,6,10,3,5,2,4,2,2,2,6,10,3,2,10,3,4,4,632.5
5,3,10,6,10,2,3,5,1,5,1,9,6,5,0,1,2,10,2,10,4,720.4
1,3,5,10,5,10,5,1,1,7,4,10,2,6,0,4,1,5,4,5,1,669.8
3,3,6,6,1,1,4,2,1,6,2,5,3,7,2,5,1,7,2,3,2,631.6
2,2,2,3,1,10,3,1,2,4,3,5,1,8,2,4,2,5,5,3,3,630.1
3,3,10,6,3,3,8,3,2,5,4,8,10,9,0,1,2,7,7,10,1,709.1
5,3,10,3,1,10,3,2,1,6,1,10,0,6,0,2,2,5,0,8,3,681.7
3,3,3,4,4,3,0,0,2,8,5,8,2,8,10,3,1,5,1,2,2,598.4
3,3,3,4,4,3,0,0,2,8,5,8,2,8,10,3,1,5,1,2,2,598.4
2,4,10,4,3,3,4,5,2,8,4,2,10,8,0,3,2,2,2,2,2,656.7
2,4,10,4,3,3,4,5,2,8,4,2,10,8,0,3,2,2,2,2,2,656.7
4,3,10,5,10,10,2,5,1,8,4,8,3,8,0,2,1,10,7,3,2,714
3,5,10,4,6,5,0,5,2,4,0,3,0,5,0,2,2,3,0,4,4,627.4
1,2,10,10,10,10,9,0,1,9,10,10,8,7,0,0,2,3,10,10,4,758.4
4,2,10,6,1,6,0,2,1,5,3,3,0,7,1,4,2,3,3,6,1,658.4
2,4,0,1,2,1,0,1,1,1,1,2,5,10,4,1,1,4,2,2,1,587.4
2,4,0,1,2,1,0,1,1,1,1,2,5,10,4,1,1,4,2,2,1,587.4
3,3,6,4,10,8,6,2,2,8,5,3,2,5,10,4,2,10,1,5,4,652.9
3,3,1,1,7,7,3,1,2,1,3,3,2,8,0,2,2,4,2,3,3,622.9
1,2,5,2,8,6,2,4,1,5,2,8,0,6,0,2,1,5,2,7,3,652.4
5,3,1,4,4,2,3,0,1,4,0,6,0,8,0,10,2,4,0,5,4,623.5
2,1,9,9,2,8,4,2,1,8,2,1,0,8,0,1,2,9,1,5,3,683.7
3,4,3,4,4,4,3,1,2,2,2,2,2,6,0,6,2,5,1,3,4,605.3
4,2,1,3,8,10,1,4,2,2,0,2,2,5,0,0,2,10,0,4,4,647.6
2,5,8,5,10,10,10,5,1,5,2,4,1,8,0,1,2,5,10,2,2,704.7
5,2,10,10,10,10,10,5,1,7,5,8,5,7,0,1,2,5,5,7,3,758
5,0,3,10,5,10,5,1,1,10,1,10,3,10,0,2,2,0,4,10,1,719.9
2,2,0,3,10,10,0,5,2,5,2,6,10,5,0,0,2,5,0,10,4,675.6
5,3,1,3,1,3,0,0,1,10,0,5,0,6,0,4,2,0,0,10,4,629.7
2,3,6,10,5,10,4,3,1,8,5,7,1,7,0,2,2,4,3,7,2,698.3
1,3,0,5,2,4,2,2,1,7,3,1,1,6,0,0,1,5,0,1,4,608.5
4,4,10,7,10,10,8,3,1,7,6,8,5,7,0,1,2,10,8,3,2,741
4,4,10,7,10,10,8,3,1,7,6,8,5,7,0,1,2,10,8,3,2,741
4,4,10,8,6,10,10,3,1,7,7,7,5,7,0,1,2,10,10,5,2,745.9
3,2,4,2,10,5,3,3,1,5,0,8,3,6,10,8,2,6,1,3,2,642.2
5,0,3,10,5,10,5,1,1,10,1,10,3,10,0,2,2,0,4,10,1,719.9
2,2,10,4,8,10,6,5,2,7,3,2,7,8,0,0,2,6,2,10,2,704.3
5,5,10,4,10,8,10,4,1,4,1,1,3,5,10,4,2,6,3,10,4,679.7
1,2,10,6,1,8,6,3,2,8,3,3,10,8,0,6,2,10,7,7,2,690.9
2,4,10,2,1,3,2,2,1,7,1,3,1,8,0,10,2,2,1,10,2,633.1
0,5,1,2,10,3,2,5,2,10,4,3,1,5,10,2,2,5,1,7,4,617.2
2,2,10,7,10,10,6,5,1,5,3,6,2,7,0,1,1,10,5,8,2,713.4
5,3,3,4,7,10,4,4,1,7,2,5,0,7,8,8,2,10,1,7,1,670.7
5,3,3,4,7,10,4,4,1,7,2,5,0,7,8,8,2,10,1,7,1,670.7
4,3,3,1,7,6,5,0,1,6,4,6,8,8,0,2,1,6,9,8,2,677.9
4,3,3,1,7,6,5,0,1,6,4,6,8,8,0,2,1,6,9,8,2,677.9
4,3,3,1,7,6,5,0,1,6,4,6,8,8,0,2,1,6,9,8,2,677.9
4,2,3,2,8,10,5,3,1,5,1,6,3,6,10,4,2,7,1,5,2,662.2
3,4,10,6,3,10,1,5,2,6,2,8,5,8,0,1,2,8,8,5,3,695.3
3,1,10,8,10,5,2,5,1,7,3,5,3,7,0,5,2,6,1,4,3,699.6
5,1,2,6,10,7,0,5,1,6,2,4,1,5,0,4,2,10,0,7,4,688.8
5,5,0,8,10,10,8,5,1,7,3,8,10,7,10,1,1,6,6,5,3,695.1
3,4,1,4,7,6,1,5,2,6,9,8,2,4,6,8,1,0,3,5,2,614.6
5,1,10,8,10,10,10,5,1,8,4,10,4,8,1,2,2,10,5,10,3,772.2
3,4,1,4,7,6,1,5,2,6,9,8,2,4,6,8,1,0,3,5,2,614.6
3,3,6,6,4,8,4,3,2,4,5,3,4,5,5,4,1,4,4,6,2,630.8
2,4,2,3,10,10,1,5,1,4,4,2,10,9,0,5,2,3,1,4,4,672.2
2,2,7,4,10,8,5,5,1,8,6,7,2,7,0,2,2,6,4,4,3,710.2
5,3,7,7,10,5,5,3,1,8,3,4,10,10,3,4,1,7,2,9,4,700
4,5,10,2,1,10,0,5,2,2,1,10,1,8,10,10,1,4,0,5,2,602.2
3,3,5,3,3,5,3,1,2,3,6,8,5,8,10,5,2,5,3,5,2,630.7
2,2,4,4,0,5,5,0,1,6,2,4,2,6,1,1,2,3,1,5,2,639.7
5,3,9,2,10,10,3,5,1,5,5,4,0,7,5,6,2,9,0,7,3,689.2
3,2,6,7,6,10,5,0,2,8,3,3,10,8,0,3,2,3,5,7,3,682.4
5,3,9,2,10,10,9,5,1,4,5,4,0,7,5,6,2,7,0,7,3,694.3
4,4,5,4,3,4,3,3,2,3,2,5,3,7,5,1,2,5,1,3,3,628.2
1,2,7,5,10,10,7,3,1,7,7,1,5,6,7,2,2,7,1,5,3,686.7
5,4,8,8,2,8,5,3,1,10,5,7,3,8,0,3,2,8,5,6,2,713.8
5,2,8,2,3,3,1,1,2,3,0,2,3,6,0,1,2,10,1,2,2,632.5
5,2,8,2,3,3,1,1,2,3,0,2,3,6,0,1,2,10,1,2,2,632.5
5,4,10,4,10,10,2,5,1,4,1,10,0,6,8,5,2,3,6,4,2,681.7
4,1,7,4,6,6,9,1,1,5,6,4,7,7,0,0,2,7,5,10,3,718.1
4,1,4,3,5,6,1,5,2,5,1,1,0,7,10,1,2,5,6,7,4,641
0,5,10,3,10,10,5,3,2,3,1,9,0,4,10,1,2,10,0,1,3,633.5
3,2,3,10,10,7,5,2,1,2,3,6,5,7,0,3,2,3,3,8,2,691.3
5,4,4,2,6,3,4,3,1,3,2,7,1,7,0,1,2,10,5,10,3,684.7
2,1,7,10,10,9,3,3,2,5,6,2,10,6,0,0,2,8,3,7,3,705.6
3,5,4,3,6,6,3,5,1,3,2,4,1,8,0,10,1,2,1,10,3,629.9
3,4,10,10,8,10,3,4,2,9,3,10,5,7,0,2,2,10,8,5,3,721
1,5,2,0,0,5,0,0,2,2,1,1,0,7,3,1,2,1,0,10,4,574.7
2,3,4,2,3,3,1,1,1,6,2,8,5,6,8,5,1,1,2,5,3,606.5
2,2,5,2,3,5,2,2,1,8,0,5,0,9,0,5,2,8,0,2,2,645.6
2,2,5,2,3,5,2,2,1,8,0,5,0,9,0,5,2,8,0,2,2,645.6
2,2,1,10,3,6,5,1,2,8,7,5,5,7,10,2,2,7,3,4,1,650.3
5,1,10,10,6,10,10,5,2,10,5,7,0,8,0,0,2,4,3,10,2,735.9
5,1,10,10,6,10,10,5,2,10,5,7,0,8,0,0,2,4,3,10,2,735.9
1,4,8,5,10,10,6,4,1,4,2,10,1,7,10,0,1,10,1,3,2,664.9
2,3,9,5,10,4,3,1,1,8,3,3,8,7,4,0,1,5,5,3,2,663.5
4,4,6,10,7,10,8,3,1,7,4,10,10,7,0,5,2,8,9,2,3,732.9
3,3,2,6,5,5,2,5,1,8,1,10,2,8,0,5,1,8,1,3,2,660
3,4,9,5,1,1,0,0,2,4,1,6,0,7,0,6,1,6,2,2,3,591
4,3,10,10,10,7,7,5,1,4,4,5,3,6,0,8,2,10,2,7,2,714.7
1,5,0,2,1,4,1,1,2,2,1,1,0,9,2,10,1,3,2,3,2,547.9
3,3,1,7,9,6,7,0,2,8,6,3,8,8,2,8,1,6,8,10,1,660.3
3,1,7,3,1,3,2,1,1,8,3,7,4,8,0,1,2,2,1,1,1,657.7
4,5,4,10,5,2,3,3,2,3,1,2,0,8,10,3,1,5,4,3,3,598.9
1,3,2,10,8,5,5,2,2,1,4,10,10,6,3,3,2,5,6,10,2,676.6
1,5,0,2,1,4,1,1,2,2,1,1,0,9,2,10,1,3,2,3,2,547.9
2,1,4,3,5,2,4,3,2,5,1,3,5,6,10,2,1,2,4,3,2,602.1
2,2,5,9,5,3,6,5,1,5,3,1,4,7,0,3,2,10,1,10,2,692
3,4,2,7,3,4,1,0,2,4,1,10,0,7,0,10,2,6,0,7,4,615.6
4,3,3,2,6,7,6,4,2,4,4,8,5,7,7,0,2,6,4,4,4,664.5
2,2,4,5,10,10,4,5,1,6,2,3,10,8,0,1,2,6,9,10,2,726.6
2,2,4,4,6,8,2,5,2,3,3,6,2,7,5,5,2,5,2,5,3,643.7
1,4,2,3,2,3,5,0,1,0,2,3,1,6,0,4,1,4,1,1,1,585.1
2,5,0,8,4,10,1,1,2,1,2,6,0,6,2,5,1,7,3,1,1,594.2
1,5,0,2,1,4,1,1,2,2,1,1,0,9,2,10,1,3,2,3,2,547.9
4,5,3,2,4,1,2,1,1,0,0,1,1,8,0,0,2,0,9,10,4,632.7
1,5,0,3,1,6,0,0,2,3,2,8,6,8,7,4,1,0,2,10,2,581.4
3,1,5,9,5,4,9,4,2,3,5,4,2,7,9,5,2,8,6,4,2,663.7
3,3,10,6,10,5,10,0,1,7,6,5,5,8,0,0,1,4,10,10,2,710
4,4,2,2,2,2,1,0,2,3,2,8,3,7,0,2,1,2,4,10,3,608.4
5,5,5,10,10,10,10,5,1,7,7,10,7,7,0,3,1,10,7,7,4,741.4
3,4,2,4,1,6,3,1,2,7,4,7,2,9,0,6,2,3,1,5,2,629
3,2,10,10,10,10,10,4,1,5,3,7,5,7,5,1,2,10,5,5,1,735.7
2,4,3,7,10,10,2,0,1,1,6,10,1,8,0,10,1,10,10,3,1,661.7
4,4,10,7,10,10,2,5,1,2,0,8,2,7,0,2,1,10,0,10,4,693.4
4,5,10,7,5,10,7,2,1,5,4,3,0,8,0,3,2,7,4,3,2,685.8
4,3,3,3,6,5,2,3,2,10,2,8,0,8,7,7,2,10,1,7,3,647.7
3,2,1,10,10,10,1,5,1,9,5,3,5,8,7,1,2,4,5,6,3,701.1
3,1,5,9,5,4,9,4,2,3,5,4,2,7,9,5,2,8,6,4,2,663.7
4,1,9,10,10,10,10,5,1,8,8,7,10,8,0,0,2,10,10,10,4,795.4
2,3,1,2,8,2,5,5,1,2,2,3,3,6,8,1,1,6,3,6,3,627.6
1,5,7,1,1,2,1,0,1,3,3,3,5,7,0,2,1,0,10,10,1,619.3
1,5,7,1,1,4,0,0,1,3,2,2,1,6,0,4,1,0,8,10,1,601.9
0,2,5,1,0,2,2,1,1,7,1,5,1,8,0,3,1,2,1,5,2,606.3
2,1,10,10,10,10,7,5,1,2,6,6,1,7,0,2,2,8,9,10,3,744
0,2,5,1,0,2,2,1,1,7,1,5,1,8,0,3,1,2,1,5,2,606.3
2,2,7,3,3,6,1,1,1,6,4,1,3,7,0,2,2,5,1,4,3,649.5
4,1,4,6,3,4,2,5,1,7,4,8,2,8,0,1,2,7,3,5,3,697
5,0,3,5,4,6,4,2,1,7,10,7,1,6,3,0,1,6,2,4,2,676
1,0,8,7,10,5,3,5,1,7,5,4,2,8,0,1,2,7,1,7,2,708.1
3,3,10,2,5,5,1,0,1,6,6,3,5,8,2,1,2,4,1,9,2,668.8
1,3,3,2,5,5,2,5,1,2,2,5,5,8,0,6,1,5,1,2,2,626.7
2,4,3,3,2,4,3,0,2,10,3,4,0,5,0,7,1,10,2,2,2,597
2,1,0,4,5,10,5,1,1,5,5,2,5,6,2,1,2,6,7,6,3,676.7
1,3,10,6,3,10,1,1,2,3,2,10,0,6,0,1,2,7,3,7,2,657.9
1,1,10,5,5,4,0,0,1,3,2,10,5,8,0,0,2,2,1,7,2,670.2
5,1,1,7,7,4,3,5,1,10,2,8,5,8,2,1,2,10,0,6,4,710.6
3,2,2,5,0,10,0,0,2,7,1,6,2,7,0,2,2,4,3,3,2,631.8
2,3,5,5,2,4,1,1,1,10,1,2,0,8,2,0,1,3,0,1,2,614.2
1,2,1,4,3,4,3,1,2,4,4,5,1,7,10,3,2,3,1,5,2,601
2,3,7,4,5,10,7,3,2,8,3,6,5,9,3,4,2,2,2,5,2,666.2
3,1,10,4,7,10,5,5,2,7,2,2,7,8,0,0,2,7,3,7,2,704.3
3,2,4,3,10,5,2,5,2,3,5,3,3,7,0,0,2,8,1,3,4,663.5
1,1,3,3,3,4,4,2,1,4,2,3,2,4,3,3,1,3,3,3,2,611.9
1,1,3,3,3,4,4,2,1,4,2,3,2,4,3,3,1,3,3,3,2,611.9
2,1,4,6,3,7,4,1,1,4,4,4,2,5,3,3,1,3,3,4,1,632.7
4,2,7,3,3,5,6,4,2,2,3,3,2,4,2,3,1,7,7,3,4,634
3,4,6,6,5,8,7,4,1,7,6,3,1,4,8,9,2,9,9,4,1,671.4
4,1,9,8,8,5,4,4,2,7,9,2,2,5,5,4,1,5,4,8,3,666.3
0,3,0,5,5,8,1,2,2,2,2,2,1,8,0,3,2,4,2,4,3,612.5
4,3,8,6,5,10,3,5,1,5,8,7,5,7,0,5,2,0,0,5,2,693.2
1,3,5,3,2,7,5,1,2,7,2,1,2,8,0,5,2,8,1,10,3,637.8
3,1,4,2,2,1,2,0,1,0,0,3,1,8,5,0,1,5,0,3,3,597.4
3,5,2,7,7,5,5,5,2,5,1,3,2,10,0,3,2,6,2,8,4,659
5,4,5,7,4,5,2,2,1,8,3,4,3,9,0,3,1,4,5,8,4,665.8
0,2,3,4,4,6,2,0,1,3,1,2,5,8,1,3,2,5,2,3,1,631.2
1,4,4,4,5,5,3,3,1,9,3,3,2,8,3,3,2,4,4,9,1,660.3
2,2,5,6,5,8,3,2,1,8,4,6,3,8,8,1,1,2,4,5,1,652.4
4,4,2,3,2,7,4,0,2,6,2,5,5,8,0,3,1,2,1,3,3,609.7
2,5,1,3,2,4,4,3,1,7,2,7,7,5,7,0,2,2,2,1,2,631.6
1,5,0,5,6,10,1,1,2,5,1,3,0,5,7,5,1,4,0,2,4,569.6
0,4,5,8,1,3,4,0,1,4,0,10,10,6,0,4,1,3,1,3,2,625.6
5,4,10,3,10,10,2,5,1,7,2,7,10,7,2,3,2,5,5,10,4,725.5
5,3,5,6,4,5,3,1,1,5,3,8,3,8,0,0,1,3,4,10,2,671.5
4,2,5,3,5,10,7,3,1,9,7,7,7,8,8,2,2,3,10,10,3,718.9
3,3,5,10,5,10,10,2,1,5,5,10,5,7,0,5,1,10,5,5,4,702.3
4,2,4,6,3,2,7,1,2,4,4,5,7,8,4,3,2,8,6,6,3,664.1
3,2,2,7,1,2,3,2,1,2,4,2,1,8,5,10,1,7,5,4,4,612.5
5,3,10,8,10,10,10,5,1,8,6,10,7,7,0,1,2,10,5,10,3,775.4
2,2,2,4,1,9,4,0,1,6,4,4,10,6,0,1,1,4,5,4,1,651.6
4,4,7,10,6,7,8,4,1,9,7,6,10,6,3,3,2,7,8,8,4,735.3
3,0,6,1,5,5,10,5,1,9,3,10,3,7,0,2,2,10,2,10,3,726.1
3,4,2,7,1,10,1,2,1,4,1,4,2,7,0,0,2,3,1,7,4,651.8
2,4,1,4,2,7,1,1,2,8,1,3,2,8,2,0,1,3,2,7,4,605.9
4,4,7,10,6,7,8,4,1,9,7,6,10,6,3,3,2,7,8,8,4,735.3
4,4,7,10,6,7,8,4,1,9,7,6,10,6,3,3,2,7,8,8,4,735.3
3,3,4,10,7,3,3,4,1,1,1,1,4,10,0,2,2,8,1,10,2,680.7
4,3,6,6,2,3,5,1,2,7,8,8,6,7,1,3,2,5,8,1,2,669.6
4,3,6,4,6,4,7,4,2,2,4,6,6,4,6,6,2,3,8,8,3,658.4
4,3,6,4,6,4,7,4,2,2,4,6,6,4,6,6,2,3,8,8,3,658.4
5,4,10,2,10,9,7,3,1,10,5,2,1,7,0,1,1,10,10,10,4,716
5,3,1,5,10,10,10,5,2,10,8,5,10,7,5,2,2,5,5,10,4,721.7
3,4,4,4,1,10,3,0,1,6,4,10,7,7,4,4,1,4,1,5,2,642.8
3,3,5,7,10,10,4,0,2,7,5,1,2,8,10,4,2,0,3,10,1,644.6
2,4,2,5,6,6,8,4,1,6,6,6,5,6,4,3,2,1,1,4,4,663.9
4,1,4,8,2,4,4,0,1,8,5,8,3,7,0,1,2,10,1,2,2,684.9
1,3,10,5,5,5,3,2,1,0,2,4,1,6,0,3,2,8,1,4,2,649.9
1,2,7,5,4,6,6,2,2,1,1,3,0,7,0,2,2,10,2,6,2,644.8
5,3,10,10,4,10,2,5,1,8,4,10,3,9,0,10,2,4,3,10,3,719.7
5,3,10,3,10,2,3,1,2,7,2,4,10,7,0,6,2,10,4,10,4,685.8
3,3,3,4,5,6,2,5,1,7,2,4,2,7,3,2,2,5,2,4,3,662
0,3,1,3,2,4,6,2,1,6,2,1,5,6,6,1,2,5,0,7,3,628.9
2,4,10,3,3,8,3,3,2,3,1,5,0,6,2,6,2,6,0,5,4,626.3
4,3,10,8,9,6,1,5,2,5,1,7,0,7,0,1,2,8,1,7,3,684.7
3,3,5,4,10,8,10,5,2,8,8,4,5,8,0,3,2,10,8,8,3,721.7
3,1,5,8,1,10,4,5,1,7,4,5,10,4,0,2,2,10,0,4,1,705.8
2,3,7,8,10,8,2,5,1,9,5,2,6,7,4,2,2,10,3,4,2,704.1
2,4,3,6,2,4,0,2,2,7,0,8,1,8,0,2,2,5,1,9,2,635.8
2,3,3,4,3,6,0,0,1,7,2,8,0,8,0,4,1,5,4,4,2,629
5,3,10,2,9,10,3,5,1,7,3,10,3,8,10,0,2,5,1,7,4,704.2
2,3,6,4,5,4,4,5,1,5,1,10,2,6,0,1,2,8,1,8,1,685.1
4,3,0,2,3,4,4,2,1,7,2,10,3,7,5,1,1,2,1,3,2,629.2
5,2,10,10,10,10,10,5,1,6,6,10,10,8,0,5,2,10,10,10,2,787.5
3,3,4,9,3,9,4,4,2,5,8,7,3,7,2,1,2,8,4,5,1,684.7
3,1,10,4,1,2,0,0,2,3,1,5,0,7,0,0,2,3,0,5,4,623.1
1,5,0,10,10,10,2,5,1,5,2,5,4,3,0,2,2,10,0,7,2,678.4
2,3,10,6,10,8,10,4,1,9,5,8,1,6,5,0,2,10,4,10,2,730.6
3,1,6,4,2,5,2,2,2,8,1,4,0,8,0,1,2,4,1,7,2,646.9
4,1,8,10,10,10,3,5,1,2,8,7,1,7,1,0,2,5,4,3,2,722.1
5,1,1,6,5,2,4,5,1,3,3,10,10,7,0,1,2,10,9,10,4,729.5
5,1,10,10,10,10,3,5,2,5,3,10,10,6,0,1,2,10,10,10,4,758.2
5,3,10,5,5,10,5,5,1,10,2,10,5,9,0,5,2,10,1,10,3,736.7
2,3,8,3,2,2,4,0,1,3,2,2,2,6,10,3,2,1,1,0,2,598.5
1,4,10,3,2,2,0,5,1,5,1,2,1,8,2,4,1,2,1,7,3,617.6
3,4,4,4,9,9,5,1,1,8,1,1,2,6,5,4,1,9,1,4,3,637.4
1,2,10,5,5,5,7,5,1,7,1,4,3,9,0,2,2,8,1,8,2,698.1
5,5,2,6,10,10,10,5,1,5,1,6,0,7,10,10,2,10,0,2,3,664.1
1,3,10,5,5,5,3,2,1,0,2,4,1,6,0,3,2,8,1,4,2,649.9
3,2,8,2,1,3,2,1,1,5,2,5,5,7,0,3,1,0,2,7,3,631.6
1,5,0,10,2,5,2,1,1,1,10,1,2,7,0,3,2,10,1,10,2,651.2
4,2,5,5,5,5,4,1,1,7,4,3,2,8,0,4,2,4,3,8,2,673.9
3,1,4,3,3,2,2,4,2,5,4,4,2,6,4,3,2,8,3,4,2,639.7
3,1,4,3,3,2,2,4,2,5,4,4,2,6,4,3,2,8,3,4,2,639.7
3,1,4,3,3,2,2,4,2,5,4,4,2,6,4,3,2,8,3,4,2,639.7
2,3,6,6,6,5,8,0,1,7,7,6,6,7,3,5,2,6,2,4,2,676
3,5,5,4,8,6,6,5,2,4,2,10,1,6,8,1,2,10,0,5,3,656.2
2,2,5,5,1,5,0,0,1,4,0,2,10,7,1,0,2,3,1,10,4,651.4
4,4,10,8,7,10,10,5,1,6,2,7,3,8,0,1,2,10,1,6,4,729.1
2,1,4,4,10,8,3,5,1,8,5,5,5,8,0,2,2,10,6,7,3,721.9
5,2,7,10,10,6,10,1,1,8,7,8,10,8,4,0,1,3,7,10,2,731
1,3,2,4,3,10,4,0,1,3,4,2,2,8,1,0,2,3,3,3,3,641.4
2,2,2,4,4,10,3,0,1,3,3,2,2,8,0,0,2,3,3,3,3,648.2
5,4,9,5,10,10,10,2,1,6,1,5,3,8,0,2,2,8,2,4,3,708.3
2,4,5,5,7,10,6,3,1,0,5,7,7,8,3,2,1,8,4,2,1,667.9
5,3,4,4,10,8,5,2,2,8,8,5,6,7,0,2,2,6,6,7,4,699.6
1,5,1,2,4,4,2,1,2,2,2,2,2,6,0,1,1,4,3,2,4,578.1
2,3,4,10,4,5,2,1,1,7,2,5,6,7,3,5,2,2,2,0,1,645.2
5,1,6,10,10,8,9,5,1,8,7,10,9,9,2,1,2,9,3,9,4,772.4
1,3,10,10,10,10,3,5,2,7,2,5,5,7,0,5,2,10,5,10,4,708.1
5,2,10,4,10,10,6,2,2,8,4,10,10,7,0,2,1,10,6,10,3,722.7
2,2,0,3,3,9,2,1,2,3,1,2,2,10,3,3,1,2,0,5,2,594.2
5,3,8,5,2,8,1,0,1,8,5,4,1,8,5,2,2,3,0,3,3,653.7
3,2,7,4,10,7,3,1,1,7,3,9,10,8,0,7,1,10,5,7,2,695.5
1,4,2,4,3,7,5,2,1,6,1,2,3,7,0,4,2,10,3,3,2,648
