FRUITS_VEGGIES,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,SLEEP_HOURS,PERSONAL_AWARDS,TIME_FOR_PASSION,AGE,WORK_LIFE_BALANCE_SCORE
2,5,10,5,10,8,10,5,1,700.8
4,8,10,8,5,7,8,7,4,759.9
3,0,4,3,2,6,2,1,4,635.9
2,0,2,5,3,6,4,8,2,619.3
2,0,2,5,3,6,4,8,2,619.3
2,0,2,5,3,6,4,8,2,619.3
2,2,6,3,10,7,10,2,2,660.3
4,4,7,9,5,7,5,3,1,674.3
5,4,10,10,6,6,3,2,4,668.4
1,0,1,1,2,4,5,0,4,539.6
1,2,1,3,1,8,10,2,4,624.8
4,7,1,10,10,7,7,9,4,632.9
2,4,4,5,6,7,6,3,2,649.5
1,1,3,10,6,7,1,3,2,617.2
1,1,3,10,6,7,1,3,2,617.2
5,10,5,10,1,8,3,4,4,695.8
3,4,0,5,10,9,4,1,1,645.8
1,2,6,5,10,7,2,2,2,641.4
3,8,8,10,10,7,10,3,4,721.7
2,4,4,5,3,6,5,2,3,653.5
3,10,10,10,10,6,10,7,1,749.5
5,10,6,10,6,5,5,3,4,724
1,5,6,8,10,8,10,7,3,728.7
5,3,2,2,2,7,2,10,2,717.6
3,3,3,5,7,7,3,1,2,657.1
3,6,8,10,5,8,3,1,4,662.4
5,2,0,2,2,8,2,0,2,595.3
5,2,1,2,2,8,2,3,2,598.7
1,5,10,3,10,6,6,5,1,695.4
1,5,10,5,10,7,10,5,1,712.6
4,1,4,5,10,4,3,1,2,632.7
4,1,4,5,10,4,3,1,2,632.7
5,3,3,0,2,8,4,4,3,669.2
4,10,3,10,10,7,2,4,3,698.3
4,5,3,5,4,7,5,1,4,642.9
4,5,3,5,4,7,5,1,4,642.9
4,5,3,5,4,7,5,1,4,642.9
4,5,3,5,4,7,5,1,4,642.9
2,5,2,2,6,7,4,0,3,633.9
3,5,2,1,3,8,7,6,3,685.8
2,2,6,6,3,7,10,1,4,634.4
2,5,7,10,6,7,4,4,4,705.8
2,5,7,10,6,7,4,4,4,705.8
2,0,3,0,2,7,2,0,1,604
1,10,10,7,10,8,5,2,2,700.9
1,7,10,8,10,7,10,1,3,689.8
3,0,4,5,6,8,5,0,2,634.4
0,0,10,5,3,5,5,3,2,646.1
3,10,10,10,10,8,8,8,4,728.1
4,10,4,4,4,7,5,1,3,660.1
2,3,7,6,4,10,4,1,3,635.4
4,0,10,0,2,8,1,3,2,641.2
3,4,5,1,5,6,2,0,3,625.5
2,5,2,2,6,7,4,0,3,633.9
4,10,6,10,5,7,10,6,4,731
1,3,1,1,2,8,2,0,1,614
2,8,8,7,8,8,4,5,3,687.5
1,3,1,1,2,8,2,0,1,614
1,10,4,1,5,6,6,2,3,686.8
2,3,4,0,3,6,2,0,4,569.4
3,1,5,2,10,6,4,5,4,671.5
5,7,9,6,10,7,7,2,3,701.9
5,3,4,10,10,7,3,6,2,670
0,2,2,2,10,5,6,1,3,592.9
0,2,1,1,10,5,5,1,3,587.8
5,10,10,1,4,8,5,0,1,712.7
3,10,6,10,5,5,10,3,3,683.5
4,7,7,1,10,7,3,1,2,661.1
3,1,3,2,7,7,7,1,2,624.8
5,10,4,10,10,7,10,7,4,723.6
1,10,3,1,7,6,10,1,2,659.6
2,6,10,10,10,5,3,8,2,656.5
5,0,5,6,10,6,10,1,4,669.8
5,4,4,3,8,6,1,3,2,648
4,3,10,3,10,9,3,2,1,703.2
5,10,10,10,10,9,2,2,1,731.2
1,0,0,1,1,6,10,1,4,622.2
3,3,10,4,10,8,6,5,2,664.5
3,4,3,2,3,7,5,1,2,615.9
1,0,2,1,7,8,1,0,2,557.9
2,10,6,4,2,9,8,3,4,683.9
3,1,3,2,7,7,7,1,2,624.8
5,4,6,4,9,7,5,5,1,684.5
5,10,10,10,8,8,10,8,2,771.4
3,2,5,3,2,6,10,3,1,601.8
2,6,10,6,10,6,5,2,3,714
5,3,7,1,10,7,4,6,1,667.5
3,3,7,3,10,7,2,10,1,717.6
2,4,10,7,10,7,6,3,1,672.6
2,2,6,7,4,8,10,4,1,712.5
3,2,8,10,4,8,10,10,1,726.1
2,8,6,10,6,9,6,9,1,718.9
2,8,6,10,6,9,6,9,1,718.9
1,4,5,3,10,5,5,2,3,620.4
2,1,2,1,10,6,2,1,3,597.4
3,4,3,4,6,7,5,8,2,674.5
2,4,4,5,6,7,10,3,1,705.1
3,7,10,6,9,7,8,4,1,710
2,3,5,5,8,8,10,0,1,634.1
4,9,10,8,8,8,5,1,2,689.8
1,2,6,3,3,7,4,2,1,607.8
2,10,5,8,10,8,10,6,3,741.6
4,10,7,4,7,9,5,2,2,697.4
2,5,1,2,5,10,5,1,2,643.4
2,7,1,0,10,6,3,0,3,610.2
2,7,1,0,10,6,3,0,3,610.2
0,0,10,7,10,5,5,0,2,598.2
2,4,8,3,5,7,3,3,1,680.2
4,3,9,2,8,6,5,1,3,639.3
4,10,4,10,10,8,6,8,4,750.8
2,4,1,0,6,8,0,0,2,557.9
5,5,5,1,5,7,0,1,4,627.8
2,10,8,0,2,7,8,1,3,625.8
0,7,4,6,3,9,10,3,3,667.3
4,2,10,10,10,7,10,4,2,698.3
5,4,5,10,4,7,4,5,4,700.6
3,10,8,10,7,8,8,8,3,750.6
1,1,3,3,2,6,2,1,2,537.3
2,2,4,0,7,7,2,2,1,647.9
2,5,5,10,6,7,10,1,2,695.1
2,5,5,10,6,7,10,1,2,695.1
2,10,5,10,3,6,5,2,3,656.9
2,8,3,1,7,5,5,2,1,603.6
3,6,4,5,6,5,10,2,2,616.8
3,2,3,3,8,5,2,1,4,603.6
1,1,4,5,2,9,0,1,3,592.9
1,4,1,10,10,8,3,4,3,636.2
1,5,4,2,7,9,4,1,3,642.2
3,5,5,10,10,7,10,5,2,732.9
2,10,4,5,8,7,8,8,4,691.1
5,1,4,5,3,8,5,5,4,714
1,3,3,3,5,7,5,2,2,589.5
4,5,5,10,10,5,10,10,2,692.4
2,7,7,5,9,5,3,6,2,671.3
1,6,8,6,9,7,4,0,2,683.7
3,10,3,6,8,8,10,4,3,704.9
2,5,5,2,1,7,5,1,2,614.4
3,4,5,10,10,7,10,3,2,709.1
2,3,4,4,2,7,7,1,2,648.4
2,3,3,10,10,6,7,8,2,670.7
1,7,2,4,5,8,7,5,1,659.2
4,3,4,4,4,7,4,3,2,612.3
2,10,7,10,5,7,3,4,2,688.3
2,7,5,4,4,5,5,6,3,640.6
1,4,9,5,3,8,3,1,2,602.5
0,4,4,10,10,6,5,4,3,644.2
0,4,4,10,10,6,5,4,3,644.2
4,4,5,7,10,6,7,2,2,692
3,3,6,5,2,7,5,3,2,672.4
3,3,7,5,5,7,2,4,2,640.1
1,3,8,4,10,10,10,10,2,711.4
2,3,5,3,5,8,1,2,2,631.6
5,10,1,4,4,7,3,3,1,667.5
5,10,4,10,10,7,10,0,3,707.4
4,8,5,4,10,6,2,2,2,667.9
5,10,8,10,10,8,10,8,4,735.5
2,6,10,10,10,8,3,2,1,675.4
5,3,8,4,10,6,4,5,2,685.1
2,2,6,1,5,6,10,3,2,611.4
0,4,8,3,4,6,5,1,1,648
3,3,3,6,10,9,3,5,2,695.5
1,10,10,1,10,6,4,8,1,675.6
2,8,6,10,10,8,8,6,1,709.6
1,3,10,3,10,7,4,3,2,712.5
2,3,9,6,8,7,10,8,1,721
1,5,9,6,6,7,10,8,1,726.1
2,3,5,6,5,8,4,3,2,659
1,5,9,6,6,7,10,8,1,726.1
5,2,7,9,8,6,4,5,1,705.3
2,10,7,4,10,7,4,2,2,658.1
4,10,6,10,10,8,10,2,3,698.7
3,5,4,2,6,6,2,2,2,610.4
2,10,3,1,10,8,6,1,1,638
3,0,3,4,6,5,10,1,2,626.9
0,3,10,9,2,7,4,10,2,629.1
3,5,3,5,10,6,5,4,2,687.5
5,10,10,10,10,7,10,10,3,814.5
5,5,7,5,10,7,6,6,2,706.4
2,1,3,1,6,8,4,1,3,589.3
1,5,1,6,2,7,8,0,1,597
5,5,7,5,10,7,6,6,2,706.4
4,3,6,3,5,8,7,1,2,692.3
3,5,7,10,7,6,5,6,1,682.6
2,0,1,0,10,6,10,0,1,655.2
1,2,1,0,2,7,1,0,1,593.8
2,2,7,5,4,7,8,8,4,661.4
5,10,5,5,4,7,2,5,2,685.4
3,10,6,4,7,8,4,7,2,715.5
3,10,6,4,7,8,4,7,2,715.5
3,10,6,4,7,8,4,7,2,715.5
3,10,6,4,7,8,4,7,2,715.5
5,3,10,10,5,7,6,4,3,721.9
4,4,9,5,5,9,3,1,3,652.6
5,6,10,3,3,6,5,1,4,675.6
2,3,5,3,4,10,3,3,2,625.4
2,3,7,4,7,7,1,5,1,620.8
1,3,3,1,5,6,2,1,4,617.2
4,2,4,4,10,6,10,1,2,703.8
3,2,4,7,10,7,0,3,2,634.3
1,2,3,7,8,8,4,10,3,652.2
3,0,5,6,10,7,6,7,4,646.1
3,3,10,10,10,7,5,8,2,698.9
5,8,8,5,3,8,5,2,3,697
5,2,10,1,10,7,6,2,1,684.5
2,10,7,7,10,6,10,5,2,728.7
1,2,5,1,2,6,2,3,1,631.6
2,2,9,10,6,7,10,1,3,654.8
2,2,9,10,6,7,10,1,3,654.8
3,4,6,6,9,7,5,8,4,682.8
2,1,10,5,10,6,0,1,4,689.2
3,3,2,3,4,7,3,2,4,620.3
3,3,2,3,4,7,3,2,4,620.3
5,5,9,5,9,7,3,3,2,675.6
2,5,2,1,4,7,3,0,2,641.1
4,5,6,6,4,6,4,2,4,671.1
1,5,9,0,0,10,10,1,1,617.1
1,5,9,0,0,10,10,1,1,617.1
3,2,5,5,3,7,7,9,2,674.1
3,2,6,2,4,7,4,9,2,629.5
0,0,6,6,5,9,3,5,3,698.7
3,1,3,2,7,6,4,1,2,622.9
1,3,4,1,2,7,4,0,2,590.6
3,1,5,5,4,8,3,10,4,667.5
3,1,0,3,1,6,1,1,1,554.3
3,5,4,5,10,5,10,0,2,674.7
2,3,10,2,10,5,10,1,2,625.7
3,0,0,0,3,5,7,0,4,617.2
3,6,2,3,4,7,1,2,2,617.6
5,4,5,5,10,8,6,8,3,702.8
3,3,2,3,6,8,4,3,2,645
3,1,0,1,2,5,3,0,4,537.5
3,1,0,1,2,5,3,0,4,537.5
2,1,1,1,1,9,3,1,4,529.8
2,5,10,10,10,8,7,4,2,709.3
1,1,3,2,2,4,1,1,3,576.6
2,1,4,2,4,3,3,0,3,600.8
5,10,7,10,5,8,10,10,2,750.1
3,10,5,10,5,8,10,5,3,720.6
2,8,6,4,10,8,10,6,1,725.9
3,10,8,6,10,9,10,8,1,765.2
3,3,3,5,6,6,3,1,3,659.4
1,1,3,2,2,6,1,0,3,549
1,0,2,0,6,8,3,1,3,600.6
3,5,4,4,2,8,2,1,2,639.9
5,8,7,10,8,7,10,10,3,753.3
5,2,2,0,4,6,3,3,3,593.2
3,1,1,3,1,7,1,8,4,674.5
5,3,10,10,10,5,10,10,4,731.5
0,0,0,10,10,4,6,3,2,596.2
3,5,10,10,10,8,7,10,3,762
3,10,8,4,3,8,4,2,3,686.2
1,0,7,2,10,7,6,2,1,603.7
2,7,7,10,8,7,10,8,2,732.9
0,0,0,0,0,1,0,0,2,480
1,4,10,5,10,7,7,2,3,634.4
5,0,4,2,3,4,2,3,3,578.5
3,4,10,10,5,8,5,5,2,687.9
4,3,3,5,5,6,7,5,3,641.8
2,0,7,9,9,6,3,7,2,666
1,0,3,8,3,8,3,2,1,673.6
3,3,2,7,2,4,0,0,2,612.9
2,4,6,10,10,7,10,6,4,741.4
2,3,4,1,10,4,4,4,4,622.9
2,1,5,10,10,7,5,2,3,649.5
4,7,8,6,5,7,2,3,2,674.7
5,6,2,6,3,8,3,7,2,690
5,10,3,3,2,8,10,1,2,692.3
2,10,8,10,5,7,3,2,1,691.9
5,6,8,10,10,7,9,7,4,722.7
2,4,7,7,10,7,5,2,1,687.5
2,2,3,10,2,7,2,5,3,678.5
4,9,0,2,4,6,3,2,3,648.2
1,2,5,2,4,7,10,1,2,649
2,6,10,10,5,9,8,6,4,721
0,10,4,3,3,8,4,0,4,636.3
4,8,10,10,8,8,10,5,3,765
4,4,4,3,3,8,2,3,2,628.4
5,10,10,10,10,7,5,2,3,738.9
4,1,5,7,5,6,4,4,2,640.8
1,5,3,0,4,7,3,0,2,588.3
2,5,10,6,6,7,7,8,3,724.5
2,5,6,6,5,7,5,4,1,677.3
1,1,2,10,4,7,3,8,4,605.3
1,1,2,10,4,7,3,8,4,605.3
3,10,5,10,3,8,10,2,2,683.9
2,6,7,10,10,7,10,10,2,707.4
4,4,10,10,10,8,10,1,1,717.2
2,2,10,10,7,7,7,4,4,702.6
3,7,10,10,9,7,4,6,4,728.7
2,7,2,4,3,8,5,3,3,667.9
3,10,7,3,10,10,4,1,1,669.6
5,10,6,7,5,8,6,3,4,734.8
3,5,3,7,2,7,5,2,2,646.3
3,8,10,5,10,8,7,4,1,717
4,5,4,1,4,7,3,1,3,643.9
2,10,5,10,10,8,3,5,2,746.1
1,1,5,3,2,7,0,1,2,557.7
1,3,3,3,0,5,0,0,1,564.3
4,6,3,5,10,6,2,2,2,652.8
3,4,10,3,3,6,0,3,4,634
3,4,10,3,3,6,0,3,4,634
2,1,2,2,10,8,7,1,4,612.3
2,2,6,5,4,6,2,0,2,625.9
5,0,1,0,1,10,2,2,2,590.6
4,4,8,8,7,6,4,2,2,701.7
1,10,6,7,10,7,10,8,2,723.4
3,4,1,5,10,7,4,6,4,607
3,10,3,7,3,6,8,2,2,663.7
4,10,7,7,10,7,8,5,2,743.1
2,1,2,2,10,8,7,1,4,612.3
4,1,7,6,2,7,5,2,3,642.2
2,4,5,4,9,7,7,2,2,670.5
3,5,7,7,6,8,2,5,3,672.2
3,6,6,7,3,1,6,0,1,644
3,6,6,7,3,1,6,0,1,644
3,10,6,5,3,7,10,6,4,739.3
3,8,10,9,10,7,7,10,1,746.5
3,1,4,10,10,6,4,3,4,618.9
3,10,6,2,3,7,4,2,2,621.4
3,10,6,2,3,7,4,2,2,621.4
4,8,9,7,5,6,8,7,2,718.5
0,3,6,8,10,6,4,3,1,635.2
5,6,10,5,5,9,3,10,3,721.5
0,3,2,3,10,7,1,0,3,594
3,8,3,8,3,7,7,4,1,693.4
3,8,4,8,3,7,7,4,1,690
0,2,6,6,10,8,0,0,2,608.4
5,4,3,10,10,6,5,4,3,619.3
2,7,6,3,6,7,6,1,2,650.1
1,3,7,10,7,8,6,8,2,686.8
0,1,10,4,2,6,1,7,2,666.9
3,3,4,5,8,6,5,0,4,631.6
3,5,2,2,5,5,6,1,3,573.8
3,10,7,10,10,7,6,4,3,701.9
5,4,3,10,10,6,5,4,3,619.3
3,6,3,4,3,10,10,3,2,678.3
3,3,10,10,7,5,6,9,3,691.3
3,5,3,7,2,7,5,2,2,646.3
2,5,3,1,5,7,3,1,2,603.8
2,5,10,2,9,8,10,3,1,669.8
3,4,8,4,10,8,5,1,3,706.8
4,3,5,2,5,7,2,1,2,660.7
2,6,10,2,9,9,10,4,2,680.7
4,1,3,6,2,10,10,0,4,604.2
4,1,3,3,2,10,10,0,4,588.9
3,5,4,5,10,8,6,1,3,626.1
5,5,10,10,10,6,4,2,3,674.1
2,2,10,7,9,5,5,2,1,664.6
0,1,10,4,2,6,1,7,2,666.9
3,10,7,10,8,6,4,5,2,693
2,3,5,10,9,5,7,1,4,647.8
4,3,4,3,6,8,7,6,1,677.9
3,10,4,10,2,8,5,2,3,690.2
5,5,10,10,10,6,4,2,3,674.1
0,1,10,4,2,6,1,7,2,666.9
5,2,5,10,5,7,10,10,4,747.2
4,4,5,8,10,8,9,1,4,676.2
1,1,2,3,4,6,3,1,4,580
0,1,10,4,2,6,1,7,2,666.9
4,10,5,10,10,8,1,3,2,683.6
3,0,2,2,10,5,3,1,4,621.6
3,5,6,10,6,5,4,3,2,679.2
0,0,1,6,2,10,4,0,2,572.5
3,5,6,10,6,5,4,3,2,679.2
3,5,6,10,6,5,4,3,2,679.2
3,4,5,3,10,5,10,1,4,688.1
5,2,8,8,10,7,4,7,2,703
3,5,6,10,6,5,4,3,2,679.2
0,1,10,4,2,6,1,7,2,666.9
5,1,6,3,4,7,3,1,2,649.9
5,2,6,3,2,7,3,2,2,642.7
3,5,7,5,5,8,4,1,2,677
3,2,10,10,10,7,10,5,3,693
5,3,10,10,10,7,10,10,3,762.7
5,1,5,2,10,6,8,1,3,682.2
3,2,10,8,8,4,4,4,3,666.7
2,5,3,4,5,6,6,5,3,622.1
2,5,3,4,5,6,6,5,3,622.1
2,5,3,4,4,8,0,3,2,651.4
3,5,3,7,2,7,5,2,2,646.3
0,1,10,4,2,6,1,7,2,666.9
5,6,5,10,6,6,8,0,2,667.1
0,1,10,4,2,6,1,7,2,666.9
5,0,0,10,10,6,10,6,2,650.1
5,10,4,10,10,10,10,4,2,767.5
2,6,7,5,10,7,10,8,2,700
3,2,10,2,10,5,9,4,1,650.8
3,10,10,10,10,7,10,8,2,773.3
0,0,0,0,6,8,5,1,2,589.3
2,4,1,2,4,5,2,1,3,605.7
2,3,10,10,10,7,4,1,3,688.8
2,3,2,4,5,7,2,1,4,595.1
5,1,7,8,7,7,8,1,3,652.4
4,10,3,3,4,7,5,4,3,636
3,7,4,5,3,7,7,6,4,660.1
5,2,4,7,4,7,3,1,3,635.9
0,0,10,4,10,10,3,0,2,642
2,5,2,10,9,6,1,7,2,657.1
5,10,10,10,6,8,4,4,2,736.1
2,0,3,10,10,6,6,3,4,641.2
2,0,3,10,10,6,6,3,4,641.2
2,1,3,4,10,5,5,1,3,601.5
0,1,10,1,5,6,0,3,1,601.7
2,4,10,7,10,7,5,3,2,634.6
2,4,10,7,10,7,5,3,2,634.6
4,1,10,0,8,8,2,10,1,605.5
5,4,5,3,7,8,2,7,1,701.3
3,10,4,7,2,7,3,3,4,668.8
4,3,5,2,4,6,7,1,3,617.6
2,1,3,3,5,5,0,5,1,621.2
3,1,3,3,3,8,8,2,4,627.6
5,8,7,4,10,7,10,4,1,720.8
1,4,10,1,10,9,2,6,2,646.7
0,5,6,5,5,7,1,2,2,643.7
3,10,10,10,10,5,10,1,2,724.3
5,2,5,5,6,6,6,1,3,662.6
0,10,10,1,6,6,4,4,1,665.4
1,0,0,3,5,8,3,1,2,580.4
4,3,8,7,9,9,8,7,4,706.8
4,3,8,7,9,9,8,7,4,706.8
4,0,2,4,3,8,1,1,4,615.7
4,2,4,10,8,7,3,1,2,659
3,3,3,2,10,8,10,3,3,697.4
5,6,6,10,10,8,10,2,4,716.4
2,10,3,8,10,7,10,5,4,679.2
2,3,8,10,10,7,10,4,4,680.7
3,5,7,10,7,7,7,0,3,640.1
3,5,7,10,7,7,7,0,3,640.1
3,10,5,10,4,7,7,2,2,708.5
3,10,5,10,4,7,7,2,2,708.5
4,10,10,10,10,8,10,8,2,742.9
2,7,8,10,10,5,3,8,2,647.6
2,3,4,3,10,6,4,3,2,602.5
1,3,4,2,5,6,4,1,3,595.7
4,1,2,4,10,7,4,1,4,606.3
2,4,7,5,1,5,1,2,2,621
2,4,7,5,1,5,1,2,2,621
1,10,6,4,6,7,10,4,3,682
4,4,2,8,4,7,10,4,2,671.3
2,10,10,1,10,10,3,3,1,646.7
3,5,7,5,6,8,10,1,3,680.4
3,5,3,7,2,7,5,2,2,646.3
2,4,8,6,10,8,5,3,4,696.8
5,2,4,1,5,6,0,1,2,600
5,10,7,2,10,9,7,0,2,701
1,3,2,5,4,6,3,4,1,652.2
1,0,10,10,0,5,5,0,2,605.1
2,4,4,7,10,7,6,5,2,690
3,3,9,5,8,8,3,0,2,625.4
5,5,4,10,10,7,10,5,3,739.7
2,5,3,3,3,8,5,6,4,667.3
4,0,6,5,3,8,2,7,4,679.4
3,5,3,7,2,7,5,2,2,646.3
1,5,5,7,2,7,3,3,2,639.5
3,5,3,7,2,7,5,2,2,646.3
4,10,9,4,6,9,7,4,2,729.1
5,5,7,7,6,7,6,4,4,719.3
1,10,1,3,1,7,5,4,4,661.8
3,1,2,4,3,8,8,4,3,695.1
1,2,3,5,4,8,2,4,2,638.6
4,10,5,10,5,6,6,3,3,710.6
5,5,3,3,3,7,10,8,3,676.9
5,10,7,10,5,7,6,7,4,756.3
2,10,7,6,7,8,8,2,4,702.4
2,3,4,10,10,7,10,5,3,674.3
2,2,4,7,3,6,3,3,1,625.7
4,3,10,10,10,6,10,6,2,712.3
4,3,4,3,4,7,3,3,3,628
4,3,10,10,10,6,10,6,2,712.3
4,3,10,10,10,6,10,6,2,712.3
4,1,1,2,1,7,6,2,4,635
4,5,4,7,10,7,4,1,2,703.6
4,1,4,5,8,9,4,4,4,690.4
2,3,3,10,8,6,3,7,2,658.8
4,3,4,8,7,8,10,7,4,662.2
2,6,5,7,4,7,3,1,2,642.2
4,4,4,5,7,7,9,10,4,705.7
1,1,3,1,10,6,2,1,1,573.8
3,4,3,9,10,5,4,9,3,730
2,6,6,3,8,8,4,1,3,667.7
1,1,5,10,10,7,6,2,2,625.9
2,10,2,6,6,7,6,3,4,695.5
3,10,5,3,5,7,10,2,4,685.4
1,5,8,10,6,8,10,3,2,669.6
1,7,7,9,5,7,8,8,3,736.3
1,7,8,6,5,7,5,2,2,658.2
0,1,4,4,2,5,1,6,1,606.6
3,3,6,5,4,8,1,1,3,654.1
2,5,3,6,2,2,7,5,2,633.6
5,0,4,4,3,7,5,1,3,639.5
2,1,7,3,10,9,1,1,2,627.5
1,4,10,10,10,8,10,3,4,691.7
1,2,2,0,4,6,0,0,3,587.2
5,2,3,1,5,7,3,4,4,659.8
1,2,10,10,10,8,10,4,2,729.7
5,7,4,10,8,6,10,10,2,737.6
2,10,3,2,3,7,4,2,4,656.4
4,2,7,3,4,7,2,1,2,647.1
1,2,2,8,5,7,7,3,1,605.5
3,4,4,10,10,8,3,1,4,686.8
3,5,6,6,10,7,6,7,4,731.2
3,10,7,4,6,9,6,6,2,692.8
3,4,4,0,4,7,10,8,1,660.7
5,7,6,2,8,9,5,6,2,688.1
5,4,2,3,2,8,1,3,3,667.5
2,4,4,1,1,9,4,2,2,610.8
2,0,6,0,7,9,8,1,3,619.7
4,3,2,3,3,8,8,2,4,673.9
4,2,9,9,10,7,10,1,3,722.7
4,8,6,10,5,8,10,6,3,717.4
4,8,6,7,10,10,9,7,1,709.7
5,10,10,9,10,8,10,8,4,767.1
1,7,10,4,1,3,9,0,4,653.8
1,5,5,5,4,6,4,6,3,627.4
2,2,1,8,10,6,6,0,2,593.3
5,10,8,6,10,9,8,7,1,764.8
4,0,7,10,5,8,8,5,2,647.3
2,5,3,1,3,8,1,1,1,611.4
2,5,10,1,3,7,3,1,2,647.5
5,10,5,5,4,7,10,5,4,746.5
5,9,7,6,10,6,4,0,4,705.5
3,1,2,2,1,6,4,4,3,578.1
2,10,3,1,10,6,1,1,3,623.8
5,3,3,5,9,6,1,0,3,625
5,5,8,10,7,7,9,7,4,728.7
4,2,4,1,3,8,3,3,2,668.4
4,10,4,3,6,9,10,4,3,704
5,7,3,4,10,6,8,1,3,707.2
1,10,3,10,4,8,10,6,3,686.2
1,10,3,10,4,8,10,6,3,686.2
1,1,9,6,2,6,0,1,2,612
2,1,7,3,10,9,1,1,2,627.5
1,2,5,5,4,7,5,7,2,654.7
3,2,2,0,1,6,2,0,2,569.4
2,3,5,2,5,9,3,0,2,618.6
4,10,10,10,10,8,10,7,3,733.8
3,0,0,5,2,9,8,2,3,640.7
3,10,10,10,10,8,10,9,2,741.2
3,8,4,3,5,8,8,3,2,684.7
3,2,0,0,0,4,7,0,4,594.5
5,5,2,3,1,8,5,2,4,661.3
5,2,7,1,5,7,10,3,2,674.5
4,10,4,3,6,9,10,4,3,704
2,1,4,5,5,9,8,4,4,655.6
2,1,4,5,5,9,8,4,4,655.6
2,4,5,4,8,6,4,1,2,586.6
2,4,5,7,10,6,10,6,4,661.8
1,0,10,5,4,5,0,1,2,595.5
2,4,5,7,10,6,10,6,4,661.8
5,10,6,10,2,8,7,2,3,712.7
3,4,5,5,10,7,10,6,4,662
5,10,1,2,4,9,5,8,2,724.8
2,1,6,5,10,6,10,10,4,644.6
2,1,0,3,2,4,2,0,3,529.9
1,1,7,5,4,8,5,0,3,653
3,2,8,3,1,6,4,1,3,611.9
3,8,6,10,10,7,10,6,2,716.8
5,1,7,6,10,8,1,3,2,661.7
5,6,0,4,6,7,3,1,3,642
2,5,8,2,4,7,2,4,2,645
1,2,2,0,3,8,5,0,2,588.5
2,4,4,8,3,6,0,4,4,601.9
3,1,5,3,6,6,5,1,2,644.6
1,3,4,7,10,7,3,1,3,649.5
3,10,7,3,10,8,1,4,2,688.1
2,8,2,2,10,8,10,3,1,687.5
3,4,10,3,2,10,4,0,4,597.4
2,3,2,6,3,10,1,2,1,629.9
3,10,5,10,5,8,3,5,3,687.2
5,8,6,8,3,6,10,8,4,736.6
4,7,7,7,5,8,8,1,2,685.1
4,10,10,5,10,8,10,2,3,751.8
4,6,9,10,8,8,10,7,4,744.6
5,6,1,1,3,8,5,2,3,643.1
5,10,5,10,5,8,3,5,2,689.4
4,10,6,9,10,8,5,1,3,680.4
4,10,6,9,10,8,5,1,3,680.4
2,3,1,0,3,8,1,0,2,618.6
3,10,5,3,6,6,8,1,2,695.3
1,0,1,1,8,6,1,0,3,566.4
1,0,1,1,8,6,1,0,3,566.4
4,8,10,10,10,9,4,6,4,715.7
4,2,6,5,2,7,2,5,2,646.3
4,2,3,8,3,8,1,3,3,657.3
0,1,6,3,6,7,8,0,3,639.9
2,6,8,2,6,8,10,6,4,683.9
4,8,10,10,10,6,5,3,3,685.8
4,10,5,5,7,7,2,8,2,675.6
5,10,1,9,5,9,7,5,4,676.6
5,10,2,6,5,9,7,2,4,680
4,10,4,3,4,6,5,0,2,618.7
4,6,6,9,10,8,10,2,1,703.2
5,10,6,10,10,7,5,1,4,674.5
4,6,5,6,5,9,9,5,2,698.7
5,10,4,10,10,8,10,1,3,650.3
2,5,4,10,10,7,4,1,2,646.2
1,9,8,7,10,8,10,1,3,677.9
4,6,3,3,7,7,3,3,4,653.5
4,5,4,6,6,8,7,5,3,679.6
5,10,8,10,10,7,5,4,3,751.6
3,4,7,5,10,7,6,0,4,647.3
1,6,3,7,10,8,5,1,2,650.5
2,10,8,4,10,7,10,2,2,728.3
5,0,1,0,10,8,0,4,2,653.2
2,0,1,1,3,9,10,1,2,626.2
3,2,7,4,10,8,5,0,4,673.9
4,2,4,5,10,6,6,4,2,696.2
0,1,2,2,5,8,2,1,2,573.2
3,3,3,4,5,6,5,3,3,610.6
3,10,5,3,7,8,10,1,3,696.6
0,10,0,0,3,6,10,1,2,635.9
5,10,5,6,3,7,7,1,2,681.9
1,8,3,3,4,7,4,2,2,641.4
2,1,8,10,10,6,10,6,2,722.5
3,10,10,6,10,7,10,2,4,689.2
3,6,5,10,10,6,10,8,3,712.3
5,10,10,10,10,8,10,10,3,782.4
2,10,5,3,4,7,6,2,2,655.2
3,4,1,1,5,6,5,1,3,640.1
2,7,6,10,5,8,8,2,2,732.3
1,10,10,8,10,8,5,3,2,714.7
2,8,9,10,5,7,5,2,2,640.5
1,10,1,1,3,5,10,3,2,617.2
4,9,6,5,7,7,4,8,2,667.9
3,10,10,10,10,7,9,3,2,729.5
4,10,5,5,8,6,10,6,3,711.3
1,10,5,10,10,7,7,1,2,667.1
1,10,5,10,10,7,7,1,2,667.1
5,10,10,10,10,8,10,1,2,727.6
3,10,4,10,10,6,5,2,2,689.6
2,8,10,2,6,7,4,0,3,608.7
5,10,6,7,5,8,8,10,2,729.8
3,3,4,6,10,7,9,3,4,678.3
4,3,5,4,10,7,3,3,3,657.5
1,10,6,6,10,7,10,4,2,703.8
3,6,7,1,3,8,0,1,2,619.5
